Data as of,Start week,End Week,Group,State,Indicator,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
9/25/20,5/2/20,5/2/20,By week,Missouri,Week-ending,117,"1,386",1.12,97,41,0,173,
9/25/20,5/9/20,5/9/20,By week,Missouri,Week-ending,119,"1,416",1.2,99,42,0,176,
9/25/20,5/16/20,5/16/20,By week,Missouri,Week-ending,90,"1,341",1.13,82,25,,148,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/23/20,5/23/20,By week,Missouri,Week-ending,75,"1,287",1.09,82,28,0,129,
9/25/20,5/30/20,5/30/20,By week,Missouri,Week-ending,59,"1,229",1.05,61,16,0,104,
9/25/20,6/6/20,6/6/20,By week,Missouri,Week-ending,49,"1,270",1.08,64,17,0,96,
9/25/20,6/13/20,6/13/20,By week,Missouri,Week-ending,40,"1,242",1.07,77,14,,104,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,6/20/20,6/20/20,By week,Missouri,Week-ending,43,"1,210",1.05,59,,0,94,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,6/27/20,6/27/20,By week,Missouri,Week-ending,42,"1,256",1.05,66,12,0,96,
9/25/20,7/4/20,7/4/20,By week,Missouri,Week-ending,39,"1,255",1.04,50,11,0,78,
9/25/20,7/11/20,7/11/20,By week,Missouri,Week-ending,36,"1,251",1.07,57,,,87,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,7/18/20,7/18/20,By week,Missouri,Week-ending,46,"1,323",1.12,68,13,0,101,
9/25/20,7/25/20,7/25/20,By week,Missouri,Week-ending,81,"1,292",1.1,78,30,0,129,
9/25/20,8/1/20,8/1/20,By week,Missouri,Week-ending,75,"1,286",1.15,83,30,0,128,
9/25/20,8/8/20,8/8/20,By week,Missouri,Week-ending,95,"1,262",1.05,107,38,0,164,
9/25/20,8/15/20,8/15/20,By week,Missouri,Week-ending,99,"1,271",1.08,95,34,0,160,
9/25/20,8/22/20,8/22/20,By week,Missouri,Week-ending,90,"1,229",1.05,86,37,,140,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,8/29/20,8/29/20,By week,Missouri,Week-ending,107,"1,136",0.99,96,42,,162,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,9/5/20,9/5/20,By week,Missouri,Week-ending,90,"1,069",0.92,94,45,0,139,
9/25/20,9/12/20,9/12/20,By week,Missouri,Week-ending,76,864,0.73,57,25,0,108,
9/25/20,9/19/20,9/19/20,By week,Missouri,Week-ending,19,487,0.41,29,10,0,38,
9/25/20,2/1/20,2/1/20,By week,Montana,Week-ending,0,218,1.05,10,0,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/8/20,2/8/20,By week,Montana,Week-ending,0,202,0.94,,0,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/15/20,2/15/20,By week,Montana,Week-ending,0,198,0.9,,0,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/22/20,2/22/20,By week,Montana,Week-ending,0,218,0.97,15,0,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/29/20,2/29/20,By week,Montana,Week-ending,0,235,1.14,,0,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/7/20,3/7/20,By week,Montana,Week-ending,0,221,0.97,12,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/14/20,3/14/20,By week,Montana,Week-ending,0,218,1.06,11,0,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/21/20,3/21/20,By week,Montana,Week-ending,0,228,1.1,21,0,,26,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/28/20,3/28/20,By week,Montana,Week-ending,,205,1.12,21,,,26,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/4/20,4/4/20,By week,Montana,Week-ending,,177,0.87,13,0,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/11/20,4/11/20,By week,Montana,Week-ending,0,216,1.1,12,0,0,12,
9/25/20,4/18/20,4/18/20,By week,Montana,Week-ending,,191,0.94,11,,,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/25/20,4/25/20,By week,Montana,Week-ending,,187,0.97,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/2/20,5/2/20,By week,Montana,Week-ending,,204,1.1,10,,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/9/20,5/9/20,By week,Montana,Week-ending,0,177,0.93,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/16/20,5/16/20,By week,Montana,Week-ending,0,205,1.1,10,0,0,10,
9/25/20,5/23/20,5/23/20,By week,Montana,Week-ending,0,180,0.98,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/30/20,5/30/20,By week,Montana,Week-ending,,179,1.02,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,6/6/20,6/6/20,By week,Montana,Week-ending,,178,0.9,14,,0,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,6/13/20,6/13/20,By week,Montana,Week-ending,,223,1.16,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,6/20/20,6/20/20,By week,Montana,Week-ending,,198,1.11,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,6/27/20,6/27/20,By week,Montana,Week-ending,,198,1.09,11,0,0,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,7/4/20,7/4/20,By week,Montana,Week-ending,,174,0.9,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,7/11/20,7/11/20,By week,Montana,Week-ending,,189,1.04,,0,0,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,7/18/20,7/18/20,By week,Montana,Week-ending,,203,1.07,10,,0,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,7/25/20,7/25/20,By week,Montana,Week-ending,12,223,1.07,,,0,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,8/1/20,8/1/20,By week,Montana,Week-ending,16,215,1.06,,,0,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,8/8/20,8/8/20,By week,Montana,Week-ending,15,215,1.13,18,,0,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,8/15/20,8/15/20,By week,Montana,Week-ending,,204,1.11,10,,0,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,8/22/20,8/22/20,By week,Montana,Week-ending,10,234,1.25,,,0,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,8/29/20,8/29/20,By week,Montana,Week-ending,11,184,1.02,10,,0,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,9/5/20,9/5/20,By week,Montana,Week-ending,17,219,1.14,20,12,0,25,
9/25/20,9/12/20,9/12/20,By week,Montana,Week-ending,14,170,0.92,14,,0,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,9/19/20,9/19/20,By week,Montana,Week-ending,,108,0.6,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/1/20,2/1/20,By week,Nebraska,Week-ending,0,373,1.07,29,0,,35,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/8/20,2/8/20,By week,Nebraska,Week-ending,0,345,0.94,21,0,,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/15/20,2/15/20,By week,Nebraska,Week-ending,0,327,0.95,29,0,,32,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/22/20,2/22/20,By week,Nebraska,Week-ending,0,318,0.88,29,0,,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/29/20,2/29/20,By week,Nebraska,Week-ending,0,341,0.99,22,0,,24,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/7/20,3/7/20,By week,Nebraska,Week-ending,0,355,1.02,30,0,,32,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/14/20,3/14/20,By week,Nebraska,Week-ending,0,343,0.97,24,0,,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/21/20,3/21/20,By week,Nebraska,Week-ending,0,350,1.11,31,0,,33,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/28/20,3/28/20,By week,Nebraska,Week-ending,,331,0.94,22,0,,26,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/4/20,4/4/20,By week,Nebraska,Week-ending,,310,0.91,30,,,35,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/11/20,4/11/20,By week,Nebraska,Week-ending,11,343,1.06,22,,0,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/18/20,4/18/20,By week,Nebraska,Week-ending,16,353,1.1,34,,,47,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/25/20,4/25/20,By week,Nebraska,Week-ending,30,353,1.13,31,,,54,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/2/20,5/2/20,By week,Nebraska,Week-ending,20,344,1.08,28,,0,41,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/9/20,5/9/20,By week,Nebraska,Week-ending,21,338,1.07,26,,0,39,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/16/20,5/16/20,By week,Nebraska,Week-ending,30,352,1.11,25,12,0,43,
9/25/20,5/23/20,5/23/20,By week,Nebraska,Week-ending,32,347,1.15,32,12,0,52,
9/25/20,5/30/20,5/30/20,By week,Nebraska,Week-ending,21,375,1.19,25,,0,39,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,6/6/20,6/6/20,By week,Nebraska,Week-ending,19,318,1.02,20,10,0,29,
9/25/20,6/13/20,6/13/20,By week,Nebraska,Week-ending,26,317,1.03,22,,0,39,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,6/20/20,6/20/20,By week,Nebraska,Week-ending,23,370,1.15,23,17,0,29,
9/25/20,6/27/20,6/27/20,By week,Nebraska,Week-ending,18,317,1,21,,0,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,7/4/20,7/4/20,By week,Nebraska,Week-ending,12,304,0.95,23,,0,30,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,7/11/20,7/11/20,By week,Nebraska,Week-ending,10,315,1,21,,0,24,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,7/18/20,7/18/20,By week,Nebraska,Week-ending,,324,1.1,21,,0,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,7/25/20,7/25/20,By week,Nebraska,Week-ending,14,357,1.19,21,,0,32,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,8/1/20,8/1/20,By week,Nebraska,Week-ending,13,356,1.16,24,,0,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,8/8/20,8/8/20,By week,Nebraska,Week-ending,22,370,1.25,29,,0,42,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,8/15/20,8/15/20,By week,Nebraska,Week-ending,22,344,1.13,29,,0,42,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,8/22/20,8/22/20,By week,Nebraska,Week-ending,27,355,1.14,23,,0,43,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,8/29/20,8/29/20,By week,Nebraska,Week-ending,11,305,1.01,15,,0,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,9/5/20,9/5/20,By week,Nebraska,Week-ending,31,307,0.99,23,16,0,38,
9/25/20,9/12/20,9/12/20,By week,Nebraska,Week-ending,14,258,0.82,16,,0,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,9/19/20,9/19/20,By week,Nebraska,Week-ending,,117,0.37,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/1/20,2/1/20,By week,Nevada,Week-ending,0,532,1.01,32,0,,38,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/8/20,2/8/20,By week,Nevada,Week-ending,0,579,1.07,45,0,,51,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/15/20,2/15/20,By week,Nevada,Week-ending,0,528,1.05,29,0,,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/22/20,2/22/20,By week,Nevada,Week-ending,0,545,1.07,26,0,,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/29/20,2/29/20,By week,Nevada,Week-ending,0,543,0.99,39,0,,44,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/7/20,3/7/20,By week,Nevada,Week-ending,0,535,1.03,33,0,,37,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/14/20,3/14/20,By week,Nevada,Week-ending,0,515,0.96,48,0,,54,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/21/20,3/21/20,By week,Nevada,Week-ending,,508,0.99,47,,,51,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/28/20,3/28/20,By week,Nevada,Week-ending,19,542,1.1,57,16,,62,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/4/20,4/4/20,By week,Nevada,Week-ending,43,592,1.16,78,33,,89,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/11/20,4/11/20,By week,Nevada,Week-ending,55,587,1.16,91,43,0,103,
9/25/20,4/18/20,4/18/20,By week,Nevada,Week-ending,43,545,1.09,52,33,,63,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/25/20,4/25/20,By week,Nevada,Week-ending,62,565,1.1,85,50,0,97,
9/25/20,5/2/20,5/2/20,By week,Nevada,Week-ending,48,547,1.11,65,32,0,81,
9/25/20,5/9/20,5/9/20,By week,Nevada,Week-ending,51,544,1.13,58,32,0,77,
9/25/20,5/16/20,5/16/20,By week,Nevada,Week-ending,34,514,1.09,43,24,0,53,
9/25/20,5/23/20,5/23/20,By week,Nevada,Week-ending,36,535,1.12,45,24,0,57,
9/25/20,5/30/20,5/30/20,By week,Nevada,Week-ending,29,543,1.13,56,21,0,64,
9/25/20,6/6/20,6/6/20,By week,Nevada,Week-ending,21,562,1.14,36,15,0,42,
9/25/20,6/13/20,6/13/20,By week,Nevada,Week-ending,17,543,1.08,39,,0,47,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,6/20/20,6/20/20,By week,Nevada,Week-ending,20,518,1.04,42,15,0,47,
9/25/20,6/27/20,6/27/20,By week,Nevada,Week-ending,23,555,1.1,44,16,,52,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,7/4/20,7/4/20,By week,Nevada,Week-ending,43,524,1.08,55,34,0,64,
9/25/20,7/11/20,7/11/20,By week,Nevada,Week-ending,65,626,1.28,76,48,0,93,
9/25/20,7/18/20,7/18/20,By week,Nevada,Week-ending,86,629,1.32,96,70,0,112,
9/25/20,7/25/20,7/25/20,By week,Nevada,Week-ending,92,640,1.41,105,69,0,128,
9/25/20,8/1/20,8/1/20,By week,Nevada,Week-ending,104,600,1.24,105,77,0,132,
9/25/20,8/8/20,8/8/20,By week,Nevada,Week-ending,125,661,1.46,135,105,0,155,
9/25/20,8/15/20,8/15/20,By week,Nevada,Week-ending,110,629,1.38,112,84,0,138,
9/25/20,8/22/20,8/22/20,By week,Nevada,Week-ending,95,607,1.36,102,73,0,124,
9/25/20,8/29/20,8/29/20,By week,Nevada,Week-ending,71,580,1.2,71,53,0,89,
9/25/20,9/5/20,9/5/20,By week,Nevada,Week-ending,66,550,1.2,74,48,0,92,
9/25/20,9/12/20,9/12/20,By week,Nevada,Week-ending,30,420,0.9,46,28,0,48,
9/25/20,9/19/20,9/19/20,By week,Nevada,Week-ending,12,235,0.51,16,,0,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/1/20,2/1/20,By week,New Hampshire,Week-ending,0,240,0.89,12,0,,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/8/20,2/8/20,By week,New Hampshire,Week-ending,0,256,1.01,12,0,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/15/20,2/15/20,By week,New Hampshire,Week-ending,0,236,0.87,10,0,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/22/20,2/22/20,By week,New Hampshire,Week-ending,0,277,1.05,25,0,,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/29/20,2/29/20,By week,New Hampshire,Week-ending,0,228,0.94,14,0,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/7/20,3/7/20,By week,New Hampshire,Week-ending,0,266,1.05,16,0,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/14/20,3/14/20,By week,New Hampshire,Week-ending,0,240,1.02,19,0,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/21/20,3/21/20,By week,New Hampshire,Week-ending,0,252,1.09,20,0,,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/28/20,3/28/20,By week,New Hampshire,Week-ending,,258,1.09,24,,0,26,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/4/20,4/4/20,By week,New Hampshire,Week-ending,12,248,0.97,13,,,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/11/20,4/11/20,By week,New Hampshire,Week-ending,17,270,1.25,25,,0,37,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/18/20,4/18/20,By week,New Hampshire,Week-ending,16,242,1.01,16,,0,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/25/20,4/25/20,By week,New Hampshire,Week-ending,19,274,1.11,30,,0,43,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/2/20,5/2/20,By week,New Hampshire,Week-ending,37,265,1.12,19,,,48,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/9/20,5/9/20,By week,New Hampshire,Week-ending,43,292,1.22,23,,0,58,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/16/20,5/16/20,By week,New Hampshire,Week-ending,40,285,1.27,36,20,0,56,
9/25/20,5/23/20,5/23/20,By week,New Hampshire,Week-ending,35,268,1.26,18,12,0,41,
9/25/20,5/30/20,5/30/20,By week,New Hampshire,Week-ending,39,250,1.11,17,,0,48,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,6/6/20,6/6/20,By week,New Hampshire,Week-ending,33,259,1.26,13,,0,38,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,6/13/20,6/13/20,By week,New Hampshire,Week-ending,31,302,1.41,15,,0,38,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,6/20/20,6/20/20,By week,New Hampshire,Week-ending,13,238,1.02,11,,0,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,6/27/20,6/27/20,By week,New Hampshire,Week-ending,24,250,1.14,13,,0,32,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,7/4/20,7/4/20,By week,New Hampshire,Week-ending,14,247,1.13,,,0,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,7/11/20,7/11/20,By week,New Hampshire,Week-ending,,248,1.15,11,0,0,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,7/18/20,7/18/20,By week,New Hampshire,Week-ending,,230,0.97,10,,0,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,7/25/20,7/25/20,By week,New Hampshire,Week-ending,,266,1.17,12,,0,16,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,8/1/20,8/1/20,By week,New Hampshire,Week-ending,,247,1.08,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,8/8/20,8/8/20,By week,New Hampshire,Week-ending,,233,1.01,10,0,0,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,8/15/20,8/15/20,By week,New Hampshire,Week-ending,,229,1,12,,0,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,8/22/20,8/22/20,By week,New Hampshire,Week-ending,,249,1.12,12,,0,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,8/29/20,8/29/20,By week,New Hampshire,Week-ending,,229,0.94,10,0,0,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,9/5/20,9/5/20,By week,New Hampshire,Week-ending,,230,1.01,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,9/12/20,9/12/20,By week,New Hampshire,Week-ending,,214,0.91,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,9/19/20,9/19/20,By week,New Hampshire,Week-ending,0,160,0.7,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/1/20,2/1/20,By week,New Jersey,Week-ending,0,"1,516",0.95,86,0,10,96,
9/25/20,2/8/20,2/8/20,By week,New Jersey,Week-ending,0,"1,492",0.92,82,0,11,93,
9/25/20,2/15/20,2/15/20,By week,New Jersey,Week-ending,0,"1,487",0.94,77,0,,84,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/22/20,2/22/20,By week,New Jersey,Week-ending,0,"1,493",0.97,81,0,,89,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/29/20,2/29/20,By week,New Jersey,Week-ending,0,"1,571",1.04,91,0,13,104,
9/25/20,3/7/20,3/7/20,By week,New Jersey,Week-ending,0,"1,507",0.99,87,0,11,98,
9/25/20,3/14/20,3/14/20,By week,New Jersey,Week-ending,,"1,475",1.01,87,0,,98,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/21/20,3/21/20,By week,New Jersey,Week-ending,36,"1,595",1.07,121,22,,144,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/28/20,3/28/20,By week,New Jersey,Week-ending,284,"2,119",1.45,332,149,12,479,
9/25/20,4/4/20,4/4/20,By week,New Jersey,Week-ending,"1,232","3,477",2.38,878,628,11,"1,490",
9/25/20,4/11/20,4/11/20,By week,New Jersey,Week-ending,"2,354","4,764",3.35,"1,418","1,180",10,"2,595",
9/25/20,4/18/20,4/18/20,By week,New Jersey,Week-ending,"2,484","4,722",3.33,"1,346","1,152",,"2,681",One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/25/20,4/25/20,By week,New Jersey,Week-ending,"2,037","3,967",2.91,"1,196","1,005",,"2,230",One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/2/20,5/2/20,By week,New Jersey,Week-ending,"1,550","3,177",2.28,898,765,,"1,685",One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/9/20,5/9/20,By week,New Jersey,Week-ending,"1,119","2,596",1.92,624,531,0,"1,212",
9/25/20,5/16/20,5/16/20,By week,New Jersey,Week-ending,825,"2,278",1.7,472,390,0,907,
9/25/20,5/23/20,5/23/20,By week,New Jersey,Week-ending,550,"1,927",1.42,329,259,0,620,
9/25/20,5/30/20,5/30/20,By week,New Jersey,Week-ending,395,"1,742",1.29,299,201,0,493,
9/25/20,6/6/20,6/6/20,By week,New Jersey,Week-ending,312,"1,577",1.15,222,153,0,381,
9/25/20,6/13/20,6/13/20,By week,New Jersey,Week-ending,218,"1,478",1.11,168,102,0,284,
9/25/20,6/20/20,6/20/20,By week,New Jersey,Week-ending,161,"1,409",1.06,131,76,0,216,
9/25/20,6/27/20,6/27/20,By week,New Jersey,Week-ending,139,"1,436",1.08,99,45,0,193,
9/25/20,7/4/20,7/4/20,By week,New Jersey,Week-ending,100,"1,401",1.02,93,41,0,152,
9/25/20,7/11/20,7/11/20,By week,New Jersey,Week-ending,85,"1,379",1.03,83,33,0,135,
9/25/20,7/18/20,7/18/20,By week,New Jersey,Week-ending,61,"1,320",0.98,82,22,0,121,
9/25/20,7/25/20,7/25/20,By week,New Jersey,Week-ending,63,"1,360",1.03,81,21,0,123,
9/25/20,8/1/20,8/1/20,By week,New Jersey,Week-ending,60,"1,376",1.04,78,25,0,113,
9/25/20,8/8/20,8/8/20,By week,New Jersey,Week-ending,36,"1,334",0.99,77,14,0,99,
9/25/20,8/15/20,8/15/20,By week,New Jersey,Week-ending,43,"1,297",1,81,18,0,106,
